TÜRKÝYE MAKRO EKONOMÝK GÖSTERGELER (2016–2026);;;;;;
;;;;;;
;;;;;;
AYLIK TR ENFLASYOn & POLÝTÝKA FAÝZÝ (Son 36 Ay);;;;;;
Dönem;TR Enf (%);Pol. Faizi (%);Reel Faiz (pp);;;
2023-03;50,51%;8,50%;-42,01%;;;
2023-04;43,68%;8,50%;-35,18%;;;
2023-05;39,59%;8,50%;-31,09%;;;
2023-06;38,21%;15,00%;-23,21%;;;
2023-07;47,83%;17,50%;-30,33%;;;
2023-08;58,94%;25,00%;-33,94%;;;
2023-09;61,53%;30,00%;-31,53%;;;
2023-10;61,36%;35,00%;-26,36%;;;
2023-11;61,98%;40,00%;-21,98%;;;
2023-12;64,77%;42,50%;-22,27%;;;
2024-01;64,86%;45,00%;-19,86%;;;
2024-02;67,07%;45,00%;-22,07%;;;
2024-03;68,50%;50,00%;-18,50%;;;
2024-04;69,80%;50,00%;-19,80%;;;
2024-05;75,45%;50,00%;-25,45%;;;
2024-06;71,60%;50,00%;-21,60%;;;
2024-07;61,78%;50,00%;-11,78%;;;
2024-08;51,97%;50,00%;-1,97%;;;
2024-09;49,38%;50,00%;+0,62%;;;
2024-10;48,58%;50,00%;+1,42%;;;
2024-11;47,09%;50,00%;+2,91%;;;
2024-12;44,38%;47,50%;+3,12%;;;
2025-01;42,12%;45,00%;+2,88%;;;
2025-02;39,05%;45,00%;+5,95%;;;
2025-03;38,10%;42,50%;+4,40%;;;
2025-04;37,86%;46,00%;+8,14%;;;
2025-05;35,41%;46,00%;+10,59%;;;
2025-06;35,05%;46,00%;+10,95%;;;
2025-07;33,52%;43,00%;+9,48%;;;
2025-08;32,95%;43,00%;+10,05%;;;
2025-09;33,29%;40,50%;+7,21%;;;
2025-10;32,87%;39,50%;+6,63%;;;
2025-11;31,07%;39,50%;+8,43%;;;
2025-12;30,89%;38,00%;+7,11%;;;
2026-01;30,65%;37,00%;+6,35%;;;
;;;;;;
;;;;;;
YILLIK ÖZET (2016–2026): Enflasyon, Kur ve Altýn Getirileri;;;;;;
Yýl;TR Enf (YS %);USD Yýllýk %;Altýn Yýllýk %;Pol.Faizi (YS);Reel Faiz pp;
2016;8,5%;21,0%;22,6%;8,0%;-0,5%;
2017;11,9%;6,0%;9,6%;8,0%;-3,9%;
2018;20,3%;40,7%;33,6%;24,0%;+3,7%;
2019;11,8%;8,6%;24,2%;12,0%;+0,2%;
2020;14,6%;28,1%;55,3%;17,0%;+2,4%;
2021;36,1%;76,8%;82,0%;14,0%;-22,1%;
2022;64,3%;37,1%;37,2%;9,0%;-55,3%;
2023;64,8%;56,9%;69,0%;42,5%;-22,3%;
2024;44,4%;18,3%;46,9%;47,5%;+3,1%;
2025;30,9%;21,3%;93,0%;38,0%;+7,1%;
2026;30,6%;3,4%;10,2%;37,0%;+6,4%;
